question,answer
"What is the capital of France?","Paris"
"Where is the Eiffel Tower located?","Paris, France"
"What is the boiling point of water at sea level?","100 degrees Celsius"
"Who developed the theory of relativity?","Albert Einstein"
"What is photosynthesis?","The process plants use to convert sunlight into energy"
"What is the tallest mountain in the world?","Mount Everest"
"How many days are in a leap year?","366"
"What is the largest mammal?","The blue whale"
"What is the currency of the United Kingdom?","Pound Sterling"
"Who wrote the national anthem of India?","Rabindranath Tagore"
"What is the chemical symbol for oxygen?","O"
"What is the hardest natural substance on Earth?","Diamond"
"What is the longest river in India?","The Ganges River"
"How many strings does a standard guitar have?","Six"
"What is the freezing point of water in Celsius?","0 degrees Celsius"
"What is the capital of Canada?","Ottawa"
"Who discovered gravity?","Isaac Newton"
"What is the largest continent by area?","Asia"
"What is the smallest country in the world?","Vatican City"
"What is the primary language spoken in Brazil?","Portuguese"
"What is the capital of Germany?","Berlin"
"What element does 'O' represent on the periodic table?","Oxygen"
"What is the tallest building in the world?","Burj Khalifa"
"What country has the most population?","China"
"What is the main ingredient in guacamole?","Avocado"
"What is the boiling point of ethanol?","Approximately 78 degrees Celsius"
"Who painted the Sistine Chapel ceiling?","Michelangelo"
"What is the capital of Russia?","Moscow"
"What gas makes up the majority of Earth's atmosphere?","Nitrogen"
"How many teeth does an adult human have?","32 including wisdom teeth"
"What is the capital of Italy?","Rome"
"What is the capital of Spain?","Madrid"
"What is the capital of Japan?","Tokyo"
"What is the capital of Australia?","Canberra"
"What is the capital of India?","New Delhi"
"What is the capital of Brazil?","Brasilia"
"What is the capital of China?","Beijing"
"What is the highest mountain in the world?","Mount Everest"
"What is the longest river in the world?","The Nile River"
"What is the largest ocean?","The Pacific Ocean"
"What is the smallest ocean?","The Arctic Ocean"
"What is the deepest point in the ocean?","The Mariana Trench"
"What is the hottest planet?","Venus"
"What is the closest planet to the Sun?","Mercury"
"What is the largest planet?","Jupiter"
"What is the smallest planet?","Mercury"
"How many bones are in the adult human body?","206"
"What is the largest organ in the human body?","The skin"
"What is the normal body temperature?","37 degrees Celsius"
"What is the powerhouse of the cell?","Mitochondria"
"What is the process by which plants make food?","Photosynthesis"
"What is the largest mammal?","The blue whale"
"What is the fastest land animal?","The cheetah"
"What is the largest land animal?","The African elephant"
"How many legs does a spider have?","Eight"
"What is the only mammal that can fly?","The bat"
"What is the largest fish?","The whale shark"
"What is the chemical formula for water?","H2O"
"What is the chemical formula for carbon dioxide?","CO2"
"What is the chemical symbol for gold?","Au"
"What is the chemical symbol for silver?","Ag"
"What is the atomic number of hydrogen?","1"
"What is the square root of 81?","Nine"
"What is 12 times 12?","144"
"What is the value of pi approximately?","3.14"
"What is the longest side of a right triangle called?","The hypotenuse"
"Who wrote Hamlet?","William Shakespeare"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"Who discovered America?","Christopher Columbus in 1492"
"Who was the first President of the United States?","George Washington"
"What year did World War II end?","1945"
"What is the capital of Italy?","Rome"
