question,answer
"What is the capital of France?","Paris"
"Who developed the theory of relativity?","Albert Einstein"
"What is photosynthesis?","The process plants use to convert sunlight into energy"
"What is the boiling point of water at sea level?","100 degrees Celsius"
"Where is the Eiffel Tower located?","Paris, France"
"What planet is known as the Red Planet?","Mars"
"Who wrote Romeo and Juliet?","William Shakespeare"
"What is the chemical symbol for gold?","Au"
"How many continents are there on Earth?","Seven"
"What gas do plants absorb from the atmosphere?","Carbon dioxide"
"Who was the first person to walk on the moon?","Neil Armstrong in 1969"
"What is the largest ocean on Earth?","The Pacific Ocean"
"How many bones are in the adult human body?","206"
"What is the speed of light in vacuum?","Approximately 299,792 kilometers per second"
"Who is known as the father of computers?","Charles Babbage"
"What currency is used in Japan?","Japanese Yen"
"What is the chemical formula for water?","H2O"
"Which river is the longest in the world?","The Nile River"
"What programming language is primarily used for web frontend development?","JavaScript"
"What year did World War II end?","1945"
"What is the capital of Australia?","Canberra"
"Who painted the Mona Lisa?","Leonardo da Vinci"
"What is the smallest prime number?","2"
"What is the formula for the area of a rectangle?","Length multiplied by width"
"What is the boiling point of water in Fahrenheit?","212 degrees Fahrenheit at sea level"
"Who discovered penicillin?","Alexander Fleming"
"What does DNA stand for?","Deoxyribonucleic acid"
"What is the capital of Japan?","Tokyo"
"How many sides does a hexagon have?","Six"
"What is the largest planet in our solar system?","Jupiter"
"What is the capital of Italy?","Rome"
"What is the capital of Germany?","Berlin"
"What is the capital of Spain?","Madrid"
"What is the capital of the United Kingdom?","London"
"What is the capital of the United States?","Washington D.C."
"What is the highest mountain in the world?","Mount Everest"
"What is the longest river in the world?","The Nile River"
"What is the largest desert in the world?","The Sahara Desert"
"What is the smallest country in the world by area?","Vatican City"
"What is the most populous country in the world?","India"
"What is the official language of China?","Mandarin Chinese"
"What is the currency of the European Union?","Euro"
"What is the speed of sound in air?","Approximately 343 meters per second"
"What is the boiling point of water in Celsius?","100 degrees Celsius at sea level"
"What is the freezing point of water in Celsius?","0 degrees at sea level"
"What is the largest ocean?","The Pacific Ocean"
"What is the smallest ocean?","The Arctic Ocean"
"What is the deepest ocean trench?","The Mariana Trench"
"What is the hottest planet in our solar system?","Venus"
"What is the closest star to Earth?","The Sun"
"How many planets are in our solar system?","Eight"
"What is the largest moon of Saturn?","Titan"
"What is the hardest natural substance?","Diamond"
"What is the most abundant gas in Earth's atmosphere?","Nitrogen"
"What is the chemical formula for table salt?","NaCl"
"What is the chemical symbol for iron?","Fe"
"What is the atomic number of carbon?","6"
"What is the powerhouse of the cell?","Mitochondria"
"What is the process of converting light energy into chemical energy?","Photosynthesis"
"What is the largest mammal?","The blue whale"
"What is the fastest land animal?","The cheetah"
"What is the largest land animal?","The African elephant"
"How many legs does a spider have?","Eight"
"What is the only mammal capable of true flight?","The bat"
"What is the largest species of shark?","The whale shark"
"What is the national animal of India?","The Bengal tiger"
"What is the largest bone in the human body?","The femur"
"How many chambers does the human heart have?","Four"
"What is the largest organ in the human body?","The skin"
"What is the normal human body temperature?","Approximately 37 degrees Celsius"
"What is the main gas in the air we breathe?","Nitrogen"
"What is the primary source of energy for Earth?","The Sun"
"What is the process of water turning into vapor called?","Evaporation"
"What is the layer of gases surrounding Earth called?","The atmosphere"
"What is the largest continent?","Asia"
"What is the smallest continent?","Australia"
"What is the most spoken language in the world?","English"
"What is the capital of France?","Paris"
"Who wrote Hamlet?","William Shakespeare"
"What is the square root of 64?","Eight"
"What is 15 times 15?","225"
"What is the value of pi to two decimal places?","3.14"
"What is the longest side of a right triangle called?","The hypotenuse"
"What is the capital of Italy?","Rome"
